Date,Commodity,Price,Volume
2023-04-07,oil,49.17,1373
2023-04-08,oil,49.69,4136
2023-04-09,oil,49.7,3193
2023-04-10,oil,49.23,1223
2023-04-11,oil,46.4,2262
2023-04-12,oil,45.56,3224
2023-04-13,oil,44.87,2802
2023-04-14,oil,43.27,1852
2023-04-15,oil,42.95,4353
2023-04-16,oil,43.75,1062
2023-04-17,oil,47.53,2240
2023-04-18,oil,47.88,4925
2023-04-19,oil,48.39,3874
2023-04-20,oil,48.24,3842
2023-04-21,oil,44.4,1688
2023-04-22,oil,44.35,2484
2023-04-23,oil,44.47,2633
2023-04-24,oil,49.4,3152
2023-04-25,oil,49.01,4170
2023-04-26,oil,49.62,1510
2023-04-27,oil,49.55,1384
2023-04-28,oil,47.21,1404
2023-04-29,oil,49.5,3870
2023-04-30,oil,51.0,1517
2023-05-01,oil,52.58,1475
2023-05-02,oil,50.76,3000
2023-05-03,oil,53.57,3756
2023-05-04,oil,50.76,4934
2023-05-05,oil,51.94,2668
2023-05-06,oil,56.32,2893
2023-05-07,oil,54.34,3818
2023-05-08,oil,53.21,2460
2023-05-09,oil,53.4,4094
2023-05-10,oil,52.4,4044
2023-05-11,oil,49.3,4636
2023-05-12,oil,49.43,3724
2023-05-13,oil,47.31,1713
2023-05-14,oil,48.26,4529
2023-05-15,oil,46.42,1082
2023-05-16,oil,49.52,2168
2023-05-17,oil,47.95,4156
2023-05-18,oil,47.31,4149
2023-05-19,oil,48.93,3504
2023-05-20,oil,46.47,2901
2023-05-21,oil,46.93,3048
2023-05-22,oil,49.54,1050
2023-05-23,oil,46.33,1684
2023-05-24,oil,46.7,1716
2023-05-25,oil,47.22,4843
2023-05-26,oil,48.78,2469
2023-05-27,oil,46.31,1448
2023-05-28,oil,43.66,1880
2023-05-29,oil,44.71,1487
2023-05-30,oil,45.3,2823
2023-05-31,oil,45.8,3081
2023-06-01,oil,46.5,4419
2023-06-02,oil,45.14,3142
2023-06-03,oil,45.6,4143
2023-06-04,oil,46.19,2574
2023-06-05,oil,44.76,3201
2023-06-06,oil,48.49,1249
2023-06-07,oil,49.44,1673
2023-06-08,oil,47.05,1437
2023-06-09,oil,48.37,3165
2023-06-10,oil,46.42,1770
2023-06-11,oil,47.99,4962
2023-06-12,oil,50.31,4377
2023-06-13,oil,48.67,1267
2023-06-14,oil,50.59,2984
2023-06-15,oil,51.42,2077
2023-06-16,oil,53.06,1235
2023-06-17,oil,56.86,1388
2023-06-18,oil,56.37,4037
2023-06-19,oil,54.86,4805
2023-06-20,oil,53.08,1762
2023-06-21,oil,51.45,2848
2023-06-22,oil,51.29,3448
2023-06-23,oil,51.98,1623
2023-06-24,oil,52.53,3814
2023-06-25,oil,54.19,4374
2023-06-26,oil,54.21,3966
2023-06-27,oil,57.12,4278
2023-06-28,oil,56.59,2252
2023-06-29,oil,62.03,3900
2023-06-30,oil,63.28,4981
2023-07-01,oil,61.57,1577
2023-07-02,oil,59.42,3122
2023-07-03,oil,60.39,1434
2023-07-04,oil,59.94,3150
2023-07-05,oil,61.37,4493
2023-07-06,oil,62.32,4775
2023-07-07,oil,62.17,1763
2023-07-08,oil,60.48,3785
2023-07-09,oil,57.45,3853
2023-07-10,oil,56.55,2329
2023-07-11,oil,58.27,3145
2023-07-12,oil,58.7,4921
2023-07-13,oil,56.2,3845
2023-07-14,oil,56.55,2358
2023-07-15,oil,57.32,3906
2023-07-16,oil,55.55,3482
2023-07-17,oil,55.86,1446
2023-07-18,oil,55.98,3017
2023-07-19,oil,53.69,2331
2023-07-20,oil,54.41,1248
2023-07-21,oil,55.53,1165
2023-07-22,oil,57.69,4552
2023-07-23,oil,59.8,4031
2023-07-24,oil,57.05,2358
2023-07-25,oil,55.17,2019
2023-07-26,oil,56.2,1541
2023-07-27,oil,57.23,1758
2023-07-28,oil,58.26,4177
2023-07-29,oil,65.96,4634
2023-07-30,oil,67.11,3128
2023-07-31,oil,69.38,3180
2023-08-01,oil,71.29,1796
2023-08-02,oil,72.59,3947
2023-08-03,oil,71.96,1137
2023-08-04,oil,73.48,3231
2023-08-05,oil,71.93,4472
2023-08-06,oil,71.46,2353
2023-08-07,oil,70.49,3832
2023-08-08,oil,70.65,4579
2023-08-09,oil,75.28,2875
2023-08-10,oil,71.54,4031
2023-08-11,oil,72.92,1068
2023-08-12,oil,69.69,3593
2023-08-13,oil,68.75,4845
2023-08-14,oil,70.93,3100
2023-08-15,oil,71.05,2473
2023-08-16,oil,68.9,1204
2023-08-17,oil,67.47,3173
2023-08-18,oil,68.83,4818
2023-08-19,oil,67.37,1042
2023-08-20,oil,67.8,4823
2023-08-21,oil,67.89,2906
2023-08-22,oil,66.59,3158
2023-08-23,oil,70.88,1760
2023-08-24,oil,72.14,4734
2023-08-25,oil,68.09,4254
2023-08-26,oil,68.47,3895
2023-08-27,oil,67.14,3142
2023-08-28,oil,68.85,2994
2023-08-29,oil,67.26,4445
2023-08-30,oil,67.03,2935
2023-08-31,oil,68.04,4591
2023-09-01,oil,69.77,1899
2023-09-02,oil,67.37,1359
2023-09-03,oil,66.7,3947
2023-09-04,oil,65.75,2719
2023-09-05,oil,64.45,1280
2023-09-06,oil,67.98,4266
2023-09-07,oil,68.79,2887
2023-09-08,oil,66.27,4266
2023-09-09,oil,68.1,1666
2023-09-10,oil,72.35,1092
2023-09-11,oil,74.41,1671
2023-09-12,oil,71.37,2969
2023-09-13,oil,70.4,1060
2023-09-14,oil,72.94,3681
2023-09-15,oil,71.52,4122
2023-09-16,oil,72.41,4474
2023-09-17,oil,73.96,4860
2023-09-18,oil,72.11,2028
2023-09-19,oil,71.99,2489
2023-09-20,oil,65.5,1603
2023-09-21,oil,63.46,1681
2023-09-22,oil,62.95,4900
2023-09-23,oil,60.46,3581
2023-09-24,oil,63.72,2428
2023-09-25,oil,60.86,3885
2023-09-26,oil,59.98,4584
2023-09-27,oil,60.24,3692
2023-09-28,oil,63.12,3280
2023-09-29,oil,60.25,1523
2023-09-30,oil,62.58,3393
2023-10-01,oil,62.6,4117
2023-10-02,oil,60.64,3593
2023-10-03,oil,61.56,2968
2023-10-04,oil,61.96,2101
2023-10-05,oil,60.76,2753
2023-10-06,oil,60.9,2836
2023-10-07,oil,60.13,4994
2023-10-08,oil,60.35,4144
2023-10-09,oil,61.68,3841
2023-10-10,oil,64.85,3296
2023-10-11,oil,62.37,3094
2023-10-12,oil,66.64,2144
2023-10-13,oil,62.74,3261
2023-10-14,oil,62.43,3286
2023-10-15,oil,63.61,2079
2023-10-16,oil,64.17,3397
2023-10-17,oil,62.93,1106
2023-10-18,oil,62.51,3878
2023-10-19,oil,61.52,1047
2023-10-20,oil,60.34,4644
2023-10-21,oil,62.04,1336
2023-10-22,oil,62.76,2049
2023-10-23,oil,61.37,3851
2023-10-24,oil,63.17,2280
2023-10-25,oil,63.79,3055
2023-10-26,oil,65.41,1624
2023-10-27,oil,66.67,2890
2023-10-28,oil,65.01,2276
2023-10-29,oil,63.89,2715
2023-10-30,oil,65.39,3766
2023-10-31,oil,66.61,1302
2023-11-01,oil,66.57,1638
2023-11-02,oil,66.8,1055
2023-11-03,oil,69.36,1725
2023-11-04,oil,68.17,1525
2023-11-05,oil,69.27,1473
2023-11-06,oil,68.86,1027
2023-11-07,oil,68.43,3125
2023-11-08,oil,70.62,4287
2023-11-09,oil,72.28,4457
2023-11-10,oil,73.9,1364
2023-11-11,oil,76.51,3713
2023-11-12,oil,76.56,1525
2023-11-13,oil,77.92,3746
2023-11-14,oil,77.3,2335
2023-11-15,oil,77.95,1882
2023-11-16,oil,77.69,2030
2023-11-17,oil,77.88,2026
2023-11-18,oil,79.07,2646
2023-11-19,oil,77.43,1918
2023-11-20,oil,81.62,3797
2023-11-21,oil,79.61,3410
2023-11-22,oil,77.18,2774
2023-11-23,oil,79.5,2531
2023-11-24,oil,81.08,4345
2023-11-25,oil,82.33,4577
2023-11-26,oil,83.58,3853
2023-11-27,oil,83.56,3786
2023-11-28,oil,81.76,2906
2023-11-29,oil,81.92,4086
2023-11-30,oil,80.56,2215
2023-12-01,oil,82.51,2654
2023-12-02,oil,82.22,1484
2023-12-03,oil,80.57,3075
2023-12-04,oil,79.92,1713
2023-12-05,oil,80.75,2062
2023-12-06,oil,79.62,2976
2023-12-07,oil,77.98,2296
2023-12-08,oil,78.47,2254
2023-12-09,oil,78.96,3133
2023-12-10,oil,77.94,4545
2023-12-11,oil,77.0,1125
2023-12-12,oil,77.46,3859
2023-12-13,oil,74.57,1536
2023-12-14,oil,71.75,3192
2023-12-15,oil,70.32,4596
2023-12-16,oil,69.89,4283
2023-12-17,oil,70.51,3072
2023-12-18,oil,73.46,2603
2023-12-19,oil,75.18,4465
2023-12-20,oil,74.86,1066
2023-12-21,oil,74.82,1232
2023-12-22,oil,72.81,3156
2023-12-23,oil,72.78,2169
2023-12-24,oil,72.2,3158
2023-12-25,oil,72.84,3275
2023-12-26,oil,71.19,1110
2023-12-27,oil,72.23,2493
2023-12-28,oil,75.29,3081
2023-12-29,oil,75.08,1622
2023-12-30,oil,75.88,4847
2023-12-31,oil,77.26,4440
2023-01-01,gas,3.99,1933
2023-01-02,gas,3.72,2140
2023-01-03,gas,5.01,1133
2023-01-04,gas,8.06,3105
2023-01-05,gas,7.59,4627
2023-01-06,gas,7.12,1684
2023-01-07,gas,10.28,3719
2023-01-08,gas,11.82,3220
2023-01-09,gas,10.88,2852
2023-01-10,gas,11.96,1814
2023-01-11,gas,11.03,2172
2023-01-12,gas,10.1,1079
2023-01-13,gas,10.59,3933
2023-01-14,gas,6.76,4284
2023-01-15,gas,3.31,1202
2023-01-16,gas,2.19,3811
2023-01-17,gas,0.16,2252
2023-01-18,gas,0.79,2699
2023-01-19,gas,-1.03,2250
2023-01-20,gas,-3.85,2682
2023-01-21,gas,-0.92,2555
2023-01-22,gas,-1.37,4512
2023-01-23,gas,-1.24,4473
2023-01-24,gas,-4.09,3094
2023-01-25,gas,-5.18,2256
2023-01-26,gas,-4.95,4376
2023-01-27,gas,-7.26,2549
2023-01-28,gas,-6.5,2166
2023-01-29,gas,-7.71,4486
2023-01-30,gas,-8.29,4584
2023-01-31,gas,-9.49,2396
2023-02-01,gas,-5.79,4637
2023-02-02,gas,-5.81,4957
2023-02-03,gas,-7.93,4330
2023-02-04,gas,-6.28,3703
2023-02-05,gas,-8.73,1470
2023-02-06,gas,-8.31,4018
2023-02-07,gas,-12.23,2035
2023-02-08,gas,-14.88,2353
2023-02-09,gas,-14.49,3783
2023-02-10,gas,-13.01,3831
2023-02-11,gas,-12.67,1967
2023-02-12,gas,-12.9,1357
2023-02-13,gas,-13.5,4019
2023-02-14,gas,-16.46,4479
2023-02-15,gas,-17.9,1667
2023-02-16,gas,-18.82,1372
2023-02-17,gas,-16.71,2031
2023-02-18,gas,-16.02,2145
2023-02-19,gas,-19.55,2371
2023-02-20,gas,-18.9,3723
2023-02-21,gas,-19.67,1089
2023-02-22,gas,-21.02,4719
2023-02-23,gas,-19.8,3745
2023-02-24,gas,-17.74,4387
2023-02-25,gas,-15.88,4249
2023-02-26,gas,-17.55,1539
2023-02-27,gas,-18.17,3779
2023-02-28,gas,-17.51,1868
2023-03-01,gas,-15.56,1040
2023-03-02,gas,-16.52,1739
2023-03-03,gas,-16.89,4775
2023-03-04,gas,-19.1,2946
2023-03-05,gas,-21.49,3549
2023-03-06,gas,-19.87,4006
2023-03-07,gas,-17.16,4216
2023-03-08,gas,-17.3,2224
2023-03-09,gas,-15.29,1928
2023-03-10,gas,-14.57,3036
2023-03-11,gas,-15.86,4795
2023-03-12,gas,-15.14,3508
2023-03-13,gas,-12.06,3779
2023-03-14,gas,-12.13,3799
2023-03-15,gas,-9.0,1924
2023-03-16,gas,-14.24,3956
2023-03-17,gas,-12.6,2581
2023-03-18,gas,-12.42,4618
2023-03-19,gas,-13.02,4324
2023-03-20,gas,-12.84,1389
2023-03-21,gas,-16.81,2617
2023-03-22,gas,-17.25,3930
2023-03-23,gas,-16.54,1255
2023-03-24,gas,-13.58,1708
2023-03-25,gas,-14.62,2838
2023-03-26,gas,-16.24,2944
2023-03-27,gas,-17.24,3497
2023-03-28,gas,-15.41,1009
2023-03-29,gas,-14.75,3871
2023-03-30,gas,-15.81,1797
2023-03-31,gas,-14.79,4313
2023-04-01,gas,-14.59,4322
2023-04-02,gas,-12.65,1876
2023-04-03,gas,-14.06,2028
2023-04-04,gas,-14.71,4190
2023-04-05,gas,-15.5,2015
2023-04-06,gas,-18.42,2824
2023-04-07,gas,-17.83,1373
2023-04-08,gas,-17.31,4136
2023-04-09,gas,-17.3,3193
2023-04-10,gas,-17.77,1223
2023-04-11,gas,-20.6,2262
2023-04-12,gas,-21.44,3224
2023-04-13,gas,-22.13,2802
2023-04-14,gas,-23.73,1852
2023-04-15,gas,-24.05,4353
2023-04-16,gas,-23.25,1062
2023-04-17,gas,-19.47,2240
2023-04-18,gas,-19.12,4925
2023-04-19,gas,-18.61,3874
2023-04-20,gas,-18.76,3842
2023-04-21,gas,-22.6,1688
2023-04-22,gas,-22.65,2484
2023-04-23,gas,-22.53,2633
2023-04-24,gas,-17.6,3152
2023-04-25,gas,-17.99,4170
2023-04-26,gas,-17.38,1510
2023-04-27,gas,-17.45,1384
2023-04-28,gas,-19.79,1404
2023-04-29,gas,-17.5,3870
2023-04-30,gas,-16.0,1517
2023-05-01,gas,-14.42,1475
2023-05-02,gas,-16.24,3000
2023-05-03,gas,-13.43,3756
2023-05-04,gas,-16.24,4934
2023-05-05,gas,-15.06,2668
2023-05-06,gas,-10.68,2893
2023-05-07,gas,-12.66,3818
2023-05-08,gas,-13.79,2460
2023-05-09,gas,-13.6,4094
2023-05-10,gas,-14.6,4044
2023-05-11,gas,-17.7,4636
2023-05-12,gas,-17.57,3724
2023-05-13,gas,-19.69,1713
2023-05-14,gas,-18.74,4529
2023-05-15,gas,-20.58,1082
2023-05-16,gas,-17.48,2168
2023-05-17,gas,-19.05,4156
2023-05-18,gas,-19.69,4149
2023-05-19,gas,-18.07,3504
2023-05-20,gas,-20.53,2901
2023-05-21,gas,-20.07,3048
2023-05-22,gas,-17.46,1050
2023-05-23,gas,-20.67,1684
2023-05-24,gas,-20.3,1716
2023-05-25,gas,-19.78,4843
2023-05-26,gas,-18.22,2469
2023-05-27,gas,-20.69,1448
2023-05-28,gas,-23.34,1880
2023-05-29,gas,-22.29,1487
2023-05-30,gas,-21.7,2823
2023-05-31,gas,-21.2,3081
2023-06-01,gas,-20.5,4419
2023-06-02,gas,-21.86,3142
2023-06-03,gas,-21.4,4143
2023-06-04,gas,-20.81,2574
2023-06-05,gas,-22.24,3201
2023-06-06,gas,-18.51,1249
2023-06-07,gas,-17.56,1673
2023-06-08,gas,-19.95,1437
2023-06-09,gas,-18.63,3165
2023-06-10,gas,-20.58,1770
2023-06-11,gas,-19.01,4962
2023-06-12,gas,-16.69,4377
2023-06-13,gas,-18.33,1267
2023-06-14,gas,-16.41,2984
2023-06-15,gas,-15.58,2077
2023-06-16,gas,-13.94,1235
2023-06-17,gas,-10.14,1388
2023-06-18,gas,-10.63,4037
2023-06-19,gas,-12.14,4805
2023-06-20,gas,-13.92,1762
2023-06-21,gas,-15.55,2848
2023-06-22,gas,-15.71,3448
2023-06-23,gas,-15.02,1623
2023-06-24,gas,-14.47,3814
2023-06-25,gas,-12.81,4374
2023-06-26,gas,-12.79,3966
2023-06-27,gas,-9.88,4278
2023-06-28,gas,-10.41,2252
2023-06-29,gas,-4.97,3900
2023-06-30,gas,-3.72,4981
2023-07-01,gas,-5.43,1577
2023-07-02,gas,-7.58,3122
2023-07-03,gas,-6.61,1434
2023-07-04,gas,-7.06,3150
2023-07-05,gas,-5.63,4493
2023-07-06,gas,-4.68,4775
2023-07-07,gas,-4.83,1763
2023-07-08,gas,-6.52,3785
2023-07-09,gas,-9.55,3853
2023-07-10,gas,-10.45,2329
2023-07-11,gas,-8.73,3145
2023-07-12,gas,-8.3,4921
2023-07-13,gas,-10.8,3845
2023-07-14,gas,-10.45,2358
2023-07-15,gas,-9.68,3906
2023-07-16,gas,-11.45,3482
2023-07-17,gas,-11.14,1446
2023-07-18,gas,-11.02,3017
2023-07-19,gas,-13.31,2331
2023-07-20,gas,-12.59,1248
2023-07-21,gas,-11.47,1165
2023-07-22,gas,-9.31,4552
2023-07-23,gas,-7.2,4031
2023-07-24,gas,-9.95,2358
2023-07-25,gas,-11.83,2019
2023-07-26,gas,-10.8,1541
2023-07-27,gas,-9.77,1758
2023-07-28,gas,-8.74,4177
2023-07-29,gas,-1.04,4634
2023-07-30,gas,0.11,3128
2023-07-31,gas,2.38,3180
2023-08-01,gas,4.29,1796
2023-08-02,gas,5.59,3947
2023-08-03,gas,4.96,1137
2023-08-04,gas,6.48,3231
2023-08-05,gas,4.93,4472
2023-08-06,gas,4.46,2353
2023-08-07,gas,3.49,3832
2023-08-08,gas,3.65,4579
2023-08-09,gas,8.28,2875
2023-08-10,gas,4.54,4031
2023-08-11,gas,5.92,1068
2023-08-12,gas,2.69,3593
2023-08-13,gas,1.75,4845
2023-08-14,gas,3.93,3100
2023-08-15,gas,4.05,2473
2023-08-16,gas,1.9,1204
2023-08-17,gas,0.47,3173
2023-08-18,gas,1.83,4818
2023-08-19,gas,0.37,1042
2023-08-20,gas,0.8,4823
2023-08-21,gas,0.89,2906
2023-08-22,gas,-0.41,3158
2023-08-23,gas,3.88,1760
2023-08-24,gas,5.14,4734
2023-08-25,gas,1.09,4254
2023-08-26,gas,1.47,3895
2023-08-27,gas,0.14,3142
2023-08-28,gas,1.85,2994
2023-08-29,gas,0.26,4445
2023-08-30,gas,0.03,2935
2023-08-31,gas,1.04,4591
2023-09-01,gas,2.77,1899
2023-09-02,gas,0.37,1359
2023-09-03,gas,-0.3,3947
2023-09-04,gas,-1.25,2719
2023-09-05,gas,-2.55,1280
2023-09-06,gas,0.98,4266
2023-09-07,gas,1.79,2887
2023-09-08,gas,-0.73,4266
2023-09-09,gas,1.1,1666
2023-09-10,gas,5.35,1092
2023-09-11,gas,7.41,1671
2023-09-12,gas,4.37,2969
2023-09-13,gas,3.4,1060
2023-09-14,gas,5.94,3681
2023-09-15,gas,4.52,4122
2023-09-16,gas,5.41,4474
2023-09-17,gas,6.96,4860
2023-09-18,gas,5.11,2028
2023-09-19,gas,4.99,2489
2023-09-20,gas,-1.5,1603
2023-09-21,gas,-3.54,1681
2023-09-22,gas,-4.05,4900
2023-09-23,gas,-6.54,3581
2023-09-24,gas,-3.28,2428
2023-09-25,gas,-6.14,3885
2023-09-26,gas,-7.02,4584
2023-09-27,gas,-6.76,3692
2023-09-28,gas,-3.88,3280
2023-09-29,gas,-6.75,1523
2023-09-30,gas,-4.42,3393
2023-10-01,gas,-4.4,4117
2023-10-02,gas,-6.36,3593
2023-10-03,gas,-5.44,2968
2023-10-04,gas,-5.04,2101
2023-10-05,gas,-6.24,2753
2023-10-06,gas,-6.1,2836
2023-10-07,gas,-6.87,4994
2023-10-08,gas,-6.65,4144
2023-10-09,gas,-5.32,3841
2023-10-10,gas,-2.15,3296
2023-10-11,gas,-4.63,3094
2023-10-12,gas,-0.36,2144
2023-10-13,gas,-4.26,3261
2023-10-14,gas,-4.57,3286
2023-10-15,gas,-3.39,2079
2023-10-16,gas,-2.83,3397
2023-10-17,gas,-4.07,1106
2023-10-18,gas,-4.49,3878
2023-10-19,gas,-5.48,1047
2023-10-20,gas,-6.66,4644
2023-10-21,gas,-4.96,1336
2023-10-22,gas,-4.24,2049
2023-10-23,gas,-5.63,3851
2023-10-24,gas,-3.83,2280
2023-10-25,gas,-3.21,3055
2023-10-26,gas,-1.59,1624
2023-10-27,gas,-0.33,2890
2023-10-28,gas,-1.99,2276
2023-10-29,gas,-3.11,2715
2023-10-30,gas,-1.61,3766
2023-10-31,gas,-0.39,1302
2023-11-01,gas,-0.43,1638
2023-11-02,gas,-0.2,1055
2023-11-03,gas,2.36,1725
2023-11-04,gas,1.17,1525
2023-11-05,gas,2.27,1473
2023-11-06,gas,1.86,1027
2023-11-07,gas,1.43,3125
2023-11-08,gas,3.62,4287
2023-11-09,gas,5.28,4457
2023-11-10,gas,6.9,1364
2023-11-11,gas,9.51,3713
2023-11-12,gas,9.56,1525
2023-11-13,gas,10.92,3746
2023-11-14,gas,10.3,2335
2023-11-15,gas,10.95,1882
2023-11-16,gas,10.69,2030
2023-11-17,gas,10.88,2026
2023-11-18,gas,12.07,2646
2023-11-19,gas,10.43,1918
2023-11-20,gas,14.62,3797
2023-11-21,gas,12.61,3410
2023-11-22,gas,10.18,2774
2023-11-23,gas,12.5,2531
2023-11-24,gas,14.08,4345
2023-11-25,gas,15.33,4577
2023-11-26,gas,16.58,3853
2023-11-27,gas,16.56,3786
2023-11-28,gas,14.76,2906
2023-11-29,gas,14.92,4086
2023-11-30,gas,13.56,2215
2023-12-01,gas,15.51,2654
2023-12-02,gas,15.22,1484
2023-12-03,gas,13.57,3075
2023-12-04,gas,12.92,1713
2023-12-05,gas,13.75,2062
2023-12-06,gas,12.62,2976
2023-12-07,gas,10.98,2296
2023-12-08,gas,11.47,2254
2023-12-09,gas,11.96,3133
2023-12-10,gas,10.94,4545
2023-12-11,gas,10.0,1125
2023-12-12,gas,10.46,3859
2023-12-13,gas,7.57,1536
2023-12-14,gas,4.75,3192
2023-12-15,gas,3.32,4596
2023-12-16,gas,2.89,4283
2023-12-17,gas,3.51,3072
2023-12-18,gas,6.46,2603
2023-12-19,gas,8.18,4465
2023-12-20,gas,7.86,1066
2023-12-21,gas,7.82,1232
2023-12-22,gas,5.81,3156
2023-12-23,gas,5.78,2169
2023-12-24,gas,5.2,3158
2023-12-25,gas,5.84,3275
2023-12-26,gas,4.19,1110
2023-12-27,gas,5.23,2493
2023-12-28,gas,8.29,3081
2023-12-29,gas,8.08,1622
2023-12-30,gas,8.88,4847
2023-12-31,gas,10.26,4440
